255,0,0,REDISH
245,0,0,REDISH
235,0,0,REDISH
225,0,0,REDISH
215,0,0,REDISH
205,0,0,REDISH
200,0,0,REDISH
190,0,0,REDISH
180,0,0,REDISH
170,0,0,REDISH
160,0,0,REDISH
150,0,0,REDISH
140,0,0,REDISH
130,0,0,REDISH
120,0,0,REDISH
110,0,0,REDISH
170,74,68,REDISH
238,75,43,REDISH
165,42,42,REDISH
128,0,32,REDISH
110,38,14,REDISH
204,85,0,REDISH
233,116,81,REDISH
112,41,99,REDISH
210,43,43,REDISH
196,30,58,REDISH
215,0,64,REDISH
222,49,99,REDISH
210,4,45,REDISH
149,69,53,REDISH
129,19,49,REDISH
248,131,121,REDISH
129,65,65,REDISH
220,20,60,REDISH
139,0,0,REDISH
123,24,24,REDISH
154,42,42,REDISH
192,64,0,REDISH
128,0,0,REDISH
152,104,104,REDISH
119,7,55,REDISH
255,49,49,REDISH
74,4,4,REDISH
250,160,160,REDISH
236,88,0,REDISH
227,83,53,REDISH
169,92,104,REDISH
227,11,92,REDISH
255,0,0,REDISH
165,42,42,REDISH
145,56,49,REDISH
255,68,51,REDISH
149,53,83,REDISH
194,30,86,REDISH
224,17,95,REDISH
128,70,27,REDISH
250,128,114,REDISH
255,36,0,REDISH
250,95,85,REDISH
227,115,94,REDISH
124,48,48,REDISH
99,3,48,REDISH
164,42,4,REDISH
227,66,52,REDISH
114,47,55,REDISH
0,255,0,GREENISH
0,245,0,GREENISH
0,235,0,GREENISH
0,225,0,GREENISH
0,215,0,GREENISH
0,205,0,GREENISH
0,200,0,GREENISH
0,190,0,GREENISH
0,180,0,GREENISH
0,170,0,GREENISH
0,160,0,GREENISH
0,150,0,GREENISH
0,140,0,GREENISH
0,130,0,GREENISH
0,120,0,GREENISH
0,110,0,GREENISH
0,100,0,GREENISH
0,105,0,GREENISH
0,255,255,GREENISH
127,255,212,GREENISH
69,75,27,GREENISH
8,143,143,GREENISH
170,255,0,GREENISH
95,158,160,GREENISH
9,121,105,GREENISH
175,225,175,GREENISH
223,255,0,GREENISH
228,208,10,GREENISH
0,255,255,GREENISH
2,48,32,GREENISH
125,249,255,GREENISH
80,200,120,GREENISH
95,133,117,GREENISH
79,121,66,GREENISH
34,139,34,GREENISH
124,252,0,GREENISH
0,128,0,GREENISH
53,94,59,GREENISH
0,163,108,GREENISH
42,170,138,GREENISH
76,187,23,GREENISH
144,238,144,GREENISH
50,205,50,GREENISH
71,135,120,GREENISH
11,218,81,GREENISH
152,251,152,GREENISH
138,154,91,GREENISH
15,255,80,GREENISH
236,255,220,GREENISH
128,128,0,GREENISH
193,225,193,GREENISH
201,204,63,GREENISH
180,196,36,GREENISH
147,197,114,GREENISH
150,222,209,GREENISH
138,154,91,GREENISH
46,139,87,GREENISH
159,226,191,GREENISH
0,158,96,GREENISH
0,255,127,GREENISH
0,128,128,GREENISH
64,224,208,GREENISH
196,180,84,GREENISH
64,181,173,GREENISH
64,130,109,GREENISH
234,221,202,YELLOWISH
255,191,0,YELLOWISH
251,206,100,YELLOWISH
245,245,220,YELLOWISH
225,193,110,YELLOWISH
255,234,0,YELLOWISH
253,218,13,YELLOWISH
255,255,143,YELLOWISH
223,255,0,YELLOWISH
228,208,10,YELLOWISH
255,248,220,YELLOWISH
255,253,208,YELLOWISH
139,128,0,YELLOWISH
250,213,165,YELLOWISH
194,178,128,YELLOWISH
238,220,130,YELLOWISH
228,155,15,YELLOWISH
255,215,0,YELLOWISH
255,192,0,YELLOWISH
218,165,32,YELLOWISH
252,245,95,YELLOWISH
255,255,240,YELLOWISH
248,222,126,YELLOWISH
240,230,140,YELLOWISH
250,250,51,YELLOWISH
251,236,93,YELLOWISH
244,187,68,YELLOWISH
255,219,88,YELLOWISH
250,218,94,YELLOWISH
255,222,173,YELLOWISH
236,255,220,YELLOWISH
255,250,160,YELLOWISH
255,229,180,YELLOWISH
201,204,63,YELLOWISH
180,196,36,YELLOWISH
147,197,114,YELLOWISH
244,196,48,YELLOWISH
243,229,171,YELLOWISH
196,180,84,YELLOWISH
245,222,179,YELLOWISH
255,255,0,YELLOWISH
255,255,50,YELLOWISH
255,255,40,YELLOWISH
255,255,20,YELLOWISH
255,255,10,YELLOWISH
255,255,60,YELLOWISH
255,255,70,YELLOWISH
255,255,150,YELLOWISH
255,255,160,YELLOWISH
255,255,170,YELLOWISH
255,255,180,YELLOWISH
255,255,190,YELLOWISH
255,255,200,YELLOWISH
255,255,205,YELLOWISH
255,255,210,YELLOWISH
255,255,215,YELLOWISH
255,255,220,YELLOWISH
255,170,51,YELLOWISH
235,235,51,YELLOWISH
225,225,51,YELLOWISH
215,215,51,YELLOWISH
200,200,51,YELLOWISH
190,190,51,YELLOWISH
180,180,51,YELLOWISH
255,170,51,YELLOWISH
